Ciclo 0187 | Temp:    0.68 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1126s
Ciclo 0188 | Temp:    0.65 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1131s
Ciclo 0189 | Temp:    0.62 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1136s
Ciclo 0190 | Temp:    0.59 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1141s
Ciclo 0191 | Temp:    0.56 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1146s
Ciclo 0192 | Temp:    0.53 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1151s
Ciclo 0193 | Temp:    0.50 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1156s
Ciclo 0194 | Temp:    0.48 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1162s
Ciclo 0195 | Temp:    0.45 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1167s
Ciclo 0196 | Temp:    0.43 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1173s
Ciclo 0197 | Temp:    0.41 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1179s
Ciclo 0198 | Temp:    0.39 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1184s
Ciclo 0199 | Temp:    0.37 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1189s
Ciclo 0200 | Temp:    0.35 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1194s
Ciclo 0201 | Temp:    0.33 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1199s
Ciclo 0202 | Temp:    0.32 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1204s
Ciclo 0203 | Temp:    0.30 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1209s
Ciclo 0204 | Temp:    0.29 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1214s
Ciclo 0205 | Temp:    0.27 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1219s
Ciclo 0206 | Temp:    0.26 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1224s
Ciclo 0207 | Temp:    0.24 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1229s
Ciclo 0208 | Temp:    0.23 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1235s
Ciclo 0209 | Temp:    0.22 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1240s
Ciclo 0210 | Temp:    0.21 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1245s
Ciclo 0211 | Temp:    0.20 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1252s
Ciclo 0212 | Temp:    0.19 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1257s
